sjj_Y34D9A_152.d	WBGene00021328(npr-23),Y34D9A.2
smd_ZK973.h_1	WBGene00000140(anc-1),ZK973.6
sjj_F36D1.8	WBGene00009467,F36D1.8
mv_C41G6.6	WBGene00008057(irld-25),C41G6.6
sjj_Y47H10A.a	WBGene00000544(clp-3),Y47H10A.1	WBGene00010243,F58D5.3
cenix:193-g6	WBGene00007770(nhr-259),C27C7.8
cenix:320-c6	WBGene00004414(rpl-3),F13B10.2
mv_BAA12091	WBGene00011474(aldo-1),T05D4.1
mv_Y57A10B.7	WBGene00013279,Y57A10B.7
sjj_ZK669.5	WBGene00014055,ZK669.5
mv_T22A3.2	WBGene00011906(hsp-12.1),T22A3.2
mv_C40D2.1	WBGene00016554(math-19),C40D2.1
TH:225-h2_2	WBGene00022016,Y61A9LA.4
cenix:330-c10	WBGene00012643,Y39A1A.3
mv_F47B10.3	WBGene00009814,F47B10.3
sjj_T04B2.4	WBGene00011425,T04B2.7
sjj_F25F1.1	WBGene00021036,W05F2.4
smd_4C18B2.3	WBGene00015954,C18B2.3
cenix:123-f3	WBGene00009413(oac-19),F35E2.6
mv_AAB01719	WBGene00003221(mes-3),F54C1.3
cenix:18-e3	WBGene00006941(wnk-1),C46C2.1
sjj_F57F5.3	WBGene00010205,F57F5.3
mv_T19H5.3	WBGene00011848(chil-27),T19H5.3
mv_C04C3.7	WBGene00015417,C04C3.7
cenix:186-e12	WBGene00002196(kin-10),T01G9.6
TH:320e6	WBGene00009372(evl-18),F34D10.2
cenix:170-h12	WBGene00022026,Y65B4A.2
cenix:52-f10	WBGene00004196(prx-11),C47B2.8
cenix:135-a10	WBGene00001694(grd-5),F41E6.2
smd_ZC262.1	WBGene00022578,ZC262.1
sjj_T04G9.6	WBGene00020217,T04G9.6
smd_F38A1.3_14	WBGene00003678(nhr-88),K08A2.5
mv_Y45F10B.10	WBGene00004265(qui-1),Y45F10B.10
cenix:341-h6	WBGene00004420(rpl-9),R13A5.8
sjj_ZC178.2_2	WBGene00022536,ZC178.2
cenix:200-c2	WBGene00007500(nasp-1),C09H10.6
sjj_F21A3.4	WBGene00008994,F21A3.4
cenix:16-c7	WBGene00016291,C31H1.8
smd_D1022.1	WBGene00006703(ubc-6),D1022.1
sjj_F26E4.3	WBGene00009158,F26E4.3
sjj_C14F5.2	WBGene00006980(zig-3),C14F5.2
mv_Y37E11AL.d	WBGene00003129(map-1),Y37E11AL.7
cenix:60-g12	WBGene00004875(smd-1),F47G4.7
mv_T05H4.7	WBGene00020270,T05H4.7
sjj_K09A11.3	WBGene00010706(cyp-14A2),K09A11.3
mv_F53B3.3	WBGene00018742,F53B3.3
sjj_K09D9.7	WBGene00005233(srh-7),K09D9.7
sjj_B0238.9	WBGene00015073,B0238.9
mv_H40L08.1	WBGene00010433,H40L08.1
cenix:202-b1	WBGene00000857(cwn-1),K10B4.6
mv_T27C5.2	WBGene00005944(srx-53),T27C5.2
TH:304B6	WBGene00005160(srg-2),C18F10.5
cenix:328-a1	WBGene00020457(fbxa-67),T12B5.11
mv_Y87G2A.11	WBGene00013599(eipr-1),Y87G2A.11
mv_C34B7.3	WBGene00007913(cyp-36A1),C34B7.3
mv_F43C11.7	WBGene00018384,F43C11.7
sjj2_H20E11.2	WBGene00019214,H20E11.2
cenix:114-c5	WBGene00011927,T22C8.6
cenix:168-f2	WBGene00012523(srbc-65),Y32B12B.3
cenix:50-e10	WBGene00003864(oma-1),C09G9.6
mv_C06E7.5	WBGene00015541,C06E7.4
sjj_F25G6.1	WBGene00017796,F25G6.1
cenix:106-e2	WBGene00012464(arrd-7),Y17G7B.11
mv_Y57G11C.23	WBGene00013318,Y57G11C.23
cenix:246-f5	WBGene00004116(pqn-27),E01G4.4
sjj_Y43F4B.3	WBGene00012802(set-25),Y43F4B.3
mv_F47C12.1	WBGene00018547(clec-78),F47C12.2
sjj_ZC376.4	WBGene00013876(ceh-74),ZC376.4
sjj_R05G9R.a_3	WBGene00019906,R05G9R.1
mv_K12H6.8	WBGene00019688,K12H6.8
mv_C40A11.2	WBGene00016545,C40A11.2
cenix:323-f2	WBGene00011221,R10E12.2
cenix:44-f4	WBGene00004909(snf-10),Y32F6A.2
cenix:95-c10	WBGene00018433(ceh-82),F45C12.2
sjj_C51G7.j	WBGene00006937(wah-1),Y56A3A.32	WBGene00013244,Y56A3A.33
cenix:330-f7	WBGene00006873(vab-7),M142.4
cenix:238-b3	WBGene00022490,Y119D3B.13
sjj_B0457.1	WBGene00002251(lat-1),B0457.1
sjj_Y17G7B.2a	WBGene00012458(ash-2),Y17G7B.2
mv_F37A4.2	WBGene00018132,F37A4.2
mv_C53D5.1	WBGene00016902,C53D5.1
sjj_Y39A3C_83.c	WBGene00021445,Y39A3CR.5	WBGene00021446(hlh-33),Y39A3CR.6
cenix:12-h12	WBGene00019004(xpg-1),F57B10.6
mv_C45E1.3	WBGene00016663,C45E1.4
mv_T05F1.8	WBGene00011493,T05F1.8
cenix:50-e8	WBGene00000022(abt-4),Y39D8C.1
mv_Y74C10AL.a	WBGene00022280,Y74C10AL.2
sjj_H14A12.2	WBGene00001503(fum-1),H14A12.2
cenix:339-g1	WBGene00020450(fbxa-10),T12B5.3	WBGene00020451(fbxa-11),T12B5.4
mv_F42G10.2	WBGene00003368(mkk-4),F42G10.2
mv_Y105E8C.c	WBGene00013680(rpom-1),Y105E8A.23
mv_T05B11.3	WBGene00020246(clic-1),T05B11.3
sjj_D1043.1	WBGene00008361,D1043.1
mv_Y55F3BR.h	WBGene00044742,Y55F3BR.10
cenix:240-c4	WBGene00016335(gba-1),C33C12.3
cenix:83-f5	WBGene00016617,C43H6.4
cenix:132-h12	WBGene00002255(lbp-3),F40F4.4
mv_G_YK7595	WBGene00018747,F53C3.3
WBPaper00038381:T20B12_1_1	WBGene00020600(trd-1),T20B12.1
mv_ZK909.2b	WBGene00002189(kin-1),ZK909.2
mv_C08E3.1_1	WBGene00015593,C08E3.1
cenix:213-c12_1	WBGene00021404(trpl-3),Y38C1AB.2
sjj_T03E6.7	WBGene00000776(cpl-1),T03E6.7
mv_ZK1025.3	WBGene00014183,ZK1025.3
mv_F15A8.7	WBGene00017794(mltn-13),F25F6.1
TH:300D11	WBGene00003001(lin-12),R107.8
cenix:88-a3	WBGene00010552,K04C1.2
sjj_C47F8.8	WBGene00003671(nhr-81),C47F8.8
sjj_B0212.1	WBGene00015035(otpl-1),B0212.1
sjj2_H32K21.1	WBGene00044006,H32K21.1
mv_Y46H3C.5_1	WBGene00021605,Y46H3C.5
sjj2_F25H9.3	WBGene00009136(lurp-3),F25H9.3
sjj_Y49F6B.r	WBGene00021714(cyh-1),Y49F6B.1
mv_B0035.8_1	WBGene00001889(his-15),ZK131.9
sjj_ZK470.1	WBGene00219362,ZK470.14
sjj_Y57E12_249.a	WBGene00021961,Y57E12B.1	WBGene00235311,Y57E12B.11
cenix:73-h11	WBGene00016751,C48E7.6
sjj_Y54G9A.5	WBGene00013208,Y54G9A.5	WBGene00013210,Y54G9A.7
mv_F29D10.2	WBGene00009251,F29D10.2
cenix:170-c7	WBGene00013252,Y57A10A.7
sjj_B0303.7	WBGene00015128,B0303.7
sjj_ZK384.2	WBGene00013972(scl-20),ZK384.2
cenix:69-b1	WBGene00017380,F11D5.1
sjj_F23C8.9	WBGene00017738,F23C8.9
cenix:49-h8_1	WBGene00019786,M70.4
sjj_F59D12.4	WBGene00001687(gpn-1),F59D12.4
sjj_C24H12.5	WBGene00016074,C24H12.5
sjj_E01A2.i	WBGene00017084,E01A2.1	WBGene00017089(poml-2),E01A2.7
sjj2_T13H5.2	WBGene00011756(ctg-2),T13H5.2
sjj_T23F4.3	WBGene00020741(dlhd-1),T23F4.3
sjj2_F28A12.1	WBGene00017879(acd-4),F28A12.1
cenix:245-d8	WBGene00020021,R12B2.7
sjj_F56B3.10	WBGene00001788(gst-40),F56B3.10
mv_Y80D3A.6	WBGene00013585(cyp-42A1),Y80D3A.5
sjj_F59B2.6	WBGene00006977(zif-1),F59B2.6
sjj_F59D8.c	WBGene00006929(vit-5),C04F6.1
cenix:79-e2	WBGene00018892(cir-1),F55F8.4
sjj_C50B6.4	WBGene00000734(col-161),C50B6.4
cenix:111-f12	WBGene00007595,C15A7.2
sjj_K03H6.4	WBGene00019369,K03H6.4
mv_C53B7.7	WBGene00016896(nep-4),C53B7.7
mv_F58H1.4	WBGene00001466(flr-2),F58H1.4
sjj_T13A10.9	WBGene00005742(srv-31),T13A10.9
sjj_Y43H11_159.b	WBGene00004166(pqn-85),Y43H11AL.3
sjj2_C14C6.8	WBGene00015762,C14C6.8
mv_B0035.9_7	WBGene00001892(his-18),K06C4.10
cenix:327-d3	WBGene00004212(ptl-1),F42G9.9
sjj_C17E7.1	WBGene00015897(nhr-156),C17E7.1
mv_T08A9.7	WBGene00004987(spp-2),T08A9.12	WBGene00004988(spp-3),T08A9.7
mv_T04A8.13	WBGene00011414,T04A8.13	WBGene00119203,T04A8.18
sjj_T08G3.7	WBGene00011619,T08G3.7
cenix:101-g7	WBGene00012025(clec-38),T25E12.10
mv_H17B01.1b	WBGene00019207(fgt-1),H17B01.1
cenix:145-b2	WBGene00022221,Y73B3A.20
cenix:181-b3	WBGene00015303(rga-6),C01F4.2
cenix:30-b5	WBGene00015330,C02B10.5
sjj_F44B9.4	WBGene00000507(cit-1.1),F44B9.4
smd_F36D1.6_2	WBGene00009465,F36D1.6
sjj_F22G12.5	WBGene00009065,F22G12.5
sjj_H15N14.1	WBGene00003818(nsf-1),H15N14.2
mv_T10D4.3	WBGene00020407(chil-24),T10D4.3
mv_ZC373.4	WBGene00013869,ZC373.4
mv_F36G9.11	WBGene00009487(clec-232),F36G9.11
smd_T17A3.7	WBGene00020544(fbxb-84),T17A3.7
TH:308H3	WBGene00020018,R12B2.2
mv_K06A5.1	WBGene00019429,K06A5.1
cenix:157-h11	WBGene00006980(zig-3),C14F5.2
mv_ZK112.7	WBGene00000395(cdh-3),ZK112.7
cenix:205-e3	WBGene00017944,F31D5.1
mv_F58E10.1	WBGene00010259(ric-7),F58E10.1	WBGene00010262(droe-4),F58E10.7
mv_F38E1.10	WBGene00018182,F38E1.10
mv_C39B5.5	WBGene00016523,C39B5.5	WBGene00189950,C39B5.14
cenix:157-e1_1	WBGene00015273(mct-2),C01B4.9
smd_ZC482.4	WBGene00013913(irld-61),ZC482.4
mv_F59F5.5	WBGene00010344,F59F5.5
sjj_T07F10.5	WBGene00011591,T07F10.5	WBGene00011592,T07F10.6
sjj2_Y41D4A.3	WBGene00021505,Y41D4A.3	WBGene00021509,Y41D4A.7
sjj_Y38B5A.b	WBGene00006436(ttn-1),W06H8.8
sjj_C49F8.2	WBGene00008214(gem-1),C49F8.2
sjj2_K09D9.13	WBGene00005836(srw-89),K09D9.13
cenix:181-d2	WBGene00006814(unc-82),B0496.3
smd_Y119D3_465.	WBGene00021252(cht-4),Y22D7AL.14
sjj_C14C6.3	WBGene00015757,C14C6.3
mv_T27A3.3	WBGene00006044(ssp-16),T27A3.3
mv_BAA31345	WBGene00007001(tufm-2),C43E11.4
cenix:181-c5	WBGene00007380,C06C6.6
sjj_Y71F9A_270.b	WBGene00004049(parp-1),Y71F9AL.18	WBGene00022107,Y71F9AL.1
cenix:189-g4	WBGene00005101(srd-23),Y40H7A.5
cenix:230-d7	WBGene00016747(nmur-1),C48C5.1
mv_F35G2.3	WBGene00009437,F35G2.3
mv_T04G9.2	WBGene00003534(nas-15),T04G9.2
mv_F09G8.3	WBGene00017319(mrps-9),F09G8.3
mv_F09E5.9_8	WBGene00017288,F09E5.10
cenix:72-h2	WBGene00003221(mes-3),F54C1.3
cenix:133-b7	WBGene00015534,C06E4.5
sjj2_K04F1.16	WBGene00005231(srh-5),K04F1.16
cenix:95-f10	WBGene00018505,F46F5.14
cenix:58-c12	WBGene00006231(str-190),C18B10.7
mv_ZC482.1	WBGene00001512(gab-1),ZC482.1
sjj_W06H8.d	WBGene00021066,W06H8.2
sjj_W03F11.2	WBGene00001542(gcy-17),W03F11.2
cenix:15-f7	WBGene00020467,T12F5.2
cenix:77-a9	WBGene00015637(srxa-5),C09E7.1
sjj2_M02H5.9	WBGene00005256(srh-33),M02H5.9
sjj_C45H4.2	WBGene00016686(cyp-33C1),C45H4.2
sjj_C27C7.4	WBGene00003663(nhr-73),C27C7.4
mv_C06E4.8	WBGene00015537,C06E4.8
cenix:83-c1	WBGene00007253,C01H6.3
smd_K11E4.1	WBGene00010773,K11E4.1
sjj2_F47B10.8	WBGene00009819,F47B10.8
smd_B0213.12	WBGene00015042(cyp-34A7),B0213.12
cenix:103-b12	WBGene00022283(lgc-27),Y74E4A.1
sjj2_Y71F9AL.7	WBGene00022112,Y71F9AL.7
cenix:15-a6	WBGene00000984(dhs-21),R11D1.11
mv_C06A12.4	WBGene00001550(gcy-27),C06A12.4
cenix:236-b11	WBGene00043466,R05G6.3
cenix:85-c3	WBGene00009517(clec-167),F38A1.4
sjj_C27A12.4	WBGene00016155,C27A12.4
mv_T10B9.2	WBGene00011672(cyp-13A5),T10B9.2
mv_T01B11.3	WBGene00006374(syx-4),T01B11.3
TH:313E1	WBGene00022507,ZC21.8
cenix:122-e4	WBGene00007177(oac-1),B0399.2
sjj_B0432.11	WBGene00015192,B0432.11
sjj_C32B5.14	WBGene00016307(fbxc-18),C32B5.14
cenix:75-e2	WBGene00003822(nsy-1),F59A6.1
sjj_F36A4.2	WBGene00018081,F36A4.2
cenix:243-b10	WBGene00017352,F10E7.11
sjj_Y102A5C.9	WBGene00013616(fbxa-148),Y102A5C.9
sjj2_C45G3.5	WBGene00044008(gip-2),C45G3.5
mv_C05G6.2	WBGene00015497(nhr-76),C05G6.1
smd_D1007.8	WBGene00017005,D1007.8	WBGene00017011(eaf-1),D1007.16
cenix:122-c10	WBGene00005826(srw-79),T11F1.5
sjj_T16G1.8	WBGene00001711(grl-2),T16G1.8
mv_R04A9.2	WBGene00019862(nrde-3),R04A9.2
cenix:157-c1_1	WBGene00015271,C01B4.7
sjj_M162.3	WBGene00010929(srt-45),M162.3
sjj2_C33D3.5	WBGene00007896,C33D3.5
cenix:186-f6	WBGene00010803,M01B2.10
mv_F29A7.5	WBGene00017915,F29A7.5
mv_C52B9.3	WBGene00016866(coel-1),C52B9.3
sjj2_T19H12.9.1	WBGene00020592(ugt-12),T19H12.9
sjj_F26D2.10	WBGene00009149,F26D2.10
cenix:146-a2	WBGene00015976,C18E3.9
cenix:24-b9	WBGene00018504,F46F5.13
cenix:143-f6	WBGene00020867(shc-2),T27F7.2
sjj2_AC3.6	WBGene00000724(col-151),AC3.6
mv_G_YK1804	WBGene00007554(pptr-2),C13G3.3
sjj_Y75B7B.a	WBGene00004053(tank-1),ZK1005.1	WBGene00022289,Y75B7B.2
mv_C04C11.2	WBGene00007296(arrd-25),C04C11.2
sjj_F54D1.3	WBGene00000701(col-127),F54D1.3
sjj_F28D1.2	WBGene00009212,F28D1.2
mv_F36A2.4	WBGene00006682(twk-30),F36A2.4
sjj_C54D10.8	WBGene00008302,C54D10.8
mv_ZC178.1_4	WBGene00022535,ZC178.1
mv_C06B3.9	WBGene00006278(str-252),C06B3.9
sjj2_Y60A3A.24	WBGene00023519,Y60A3A.24
cenix:105-a5	WBGene00012340(dct-15),W08D2.3
mv_ZK622.1	WBGene00022780,ZK622.1
sjj_M02B7.5	WBGene00019726(bris-1),M02B7.5
sjj_C27A7.4	WBGene00000490(che-11),C27A7.4
sjj_Y38C1AB.k	WBGene00021406(frm-5.2),Y38C1AB.4	WBGene00021407,Y38C1AB.5
cenix:151-g8	WBGene00021423(tftc-1),Y38F2AR.5
cenix:26-d2	WBGene00002132(inx-10),T18H9.5
WBPaper00038381:D1014_1_1	WBGene00017016(snap-1),D1014.3
sjj_C23H4.2	WBGene00007691,C23H4.2
mv_F26B1.5	WBGene00015685,C10G11.1	WBGene00017817,F26B1.5
sjj2_F55G1.15	WBGene00018907,F55G1.15
cenix:304-a8	WBGene00003523(nas-4),C05D11.6
cenix:133-e4	WBGene00012104(sygl-1),T27F6.4
mv_H20J04.2	WBGene00019217(athp-2),H20J04.2
mv_AAC41575	WBGene00004405(rop-1),C12D8.11
sjj_B0507.5	WBGene00015222,B0507.5
mv_C24G7.1	WBGene00016063(delm-2),C24G7.1
mv_C14B1.10	WBGene00007581(alkb-8),C14B1.10
cenix:311-g4	WBGene00018949(acbp-4),F56C9.5
sjj_W05H7.4	WBGene00021047(zfp-3),W05H7.4
cenix:144-h11	WBGene00022090,Y69A2AR.19
sjj_F58E1.8	WBGene00019039(fbxb-18),F58E1.8
mv_ZK1248.9	WBGene00022877(wago-5),ZK1248.7
mv_W01B11.1	WBGene00020913,W01B11.1
cenix:114-d10	WBGene00007417(ceh-58),C07E3.6
sjj_C05A2.1	WBGene00004083(pph-1),C05A2.1
mv_F40D4.11	WBGene00005321(srh-102),F40D4.11
cenix:131-d6	WBGene00019966(srt-30),R08F11.2
mv_T08G3.3	WBGene00005359(srh-142),T08G3.3
cenix:314-a5	WBGene00005159(srg-1),C18F10.4
cenix:121-f3	WBGene00009022,F21F12.1
smd_3Y71H10A.2	WBGene00022200(fard-1),Y71H10A.2
mv_F11G11.2	WBGene00001755(gst-7),F11G11.2
mv_F56A11.4	WBGene00018924,F56A11.4
cenix:39-a2	WBGene00007606,C15C8.4
sjj_W06G6.11	WBGene00012313,W06G6.11	WBGene00219308,W06G6.20
cenix:119-b5	WBGene00007344,C05E7.2
cenix:202-e5	WBGene00012182(osta-3),W01D2.5
cenix:82-c7	WBGene00001022(dnj-4),C01G8.4
mv_Y5H2B.a	WBGene00021169(srt-40),Y5H2B.7
mv_F32D8.3	WBGene00009328,F32D8.3
cenix:145-f10	WBGene00015561,C07A12.7
[cgc5366]:hil-1	WBGene00001852(hil-1),C30G7.1
cenix:51-h1	WBGene00016124(dnc-4),C26B2.1
sjj_R04B5.7	WBGene00011005,R04B5.7
sjj_C40D2.3	WBGene00016556(math-21),C40D2.3
mv_W02D7.3	WBGene00020939,W02D7.3
sjj_C14A11.5	WBGene00015750,C14A11.5
sjj2_Y94H6A.6	WBGene00006705(ubc-8),Y94H6A.6
mv_Y73F8A.2	WBGene00013517(lgc-52),Y73F8A.2
mv_F40H6.3	WBGene00022696,ZK328.7
sjj_F19F10.7	WBGene00017603(clec-212),F19F10.7
cenix:32-c2	WBGene00015364(npr-19),C02H7.2
sjj_Y105E8B.b	WBGene00013691,Y105E8B.6
mv_F40H7.4	WBGene00005992(srx-101),F40H7.4	WBGene00044379,F40H7.12
cenix:183-g6	WBGene00017404,F12E12.3
cenix:110-e10	WBGene00022317,Y81B9A.3
mv_F25H9.5	WBGene00001496(frm-10),F25H9.5
cenix:197-e12	WBGene00019079(rpa-4),F59A3.6
mv_T11F1.7	WBGene00020431(irld-50),T11F1.7
sjj_Y48E1C.2	WBGene00013015,Y48E1C.2
mv_G_YK4940	WBGene00003384(moc-1),T06H11.4
smd_0C24D10.5	WBGene00016056,C24D10.5
sjj_K08A8.2	WBGene00004949(sox-2),K08A8.2
sjj_Y40H4A.2	WBGene00012741,Y40H4A.2
sjj2_F08F8.9a	WBGene00017274,F08F8.9
mv_F56D6.2	WBGene00018971(clec-67),F56D6.2
cenix:309-d8	WBGene00022578,ZC262.1
mv_T27E7.1	WBGene00012087,T27E7.1
cenix:221-e10	WBGene00019315,K02E7.11
mv_ZC581.2	WBGene00022632,ZC581.2
sjj_Y116A8C.14	WBGene00004402(rom-3),Y116A8C.14
sjj_C44B12.5	WBGene00016638(perm-4),C44B12.5
mv_C41C4.1	WBGene00008050,C41C4.1
WBPaper00038381:C55C3_1_1	WBGene00016955(perm-5),C55C3.5
cenix:191-g8	WBGene00013588(nlp-42),Y80D3A.10
cenix:217-a4	WBGene00007017(mdt-17),Y113G7B.18
cenix:217-f1	WBGene00014182,ZK1025.2
cenix:50-f7	WBGene00011619,T08G3.7
cenix:137-c7	WBGene00015620,C08G9.2
mv_AAA28070	WBGene00002018(hsp-16.41),Y46H3A.2
sjj_C01G10.4	WBGene00007231,C01G10.4	WBGene00044658,C01G10.17
mv_AAA92436	WBGene00002239(ksr-1),F13B9.5
cenix:34-e9	WBGene00016438,C35B8.3
sjj_F55B11.4	WBGene00010086,F55B11.4
mv_M01G5.1_2	WBGene00019715,M01G5.1
cenix:122-f3	WBGene00009829,F47G9.1
smd_Y39A1A.2	WBGene00012642,Y39A1A.2
mv_R07C3.13	WBGene00019929,R07C3.13
mv_D2007.5	WBGene00017045(atg-13),D2007.5
mv_C06A5.3	WBGene00004803(sir-2.4),C06A5.11	WBGene00015501,C06A5.3
mv_Y66H1B.2	WBGene00022048(fln-1),Y66H1B.2
cenix:303-h9	WBGene00016409(sumv-1),C34E10.8
sjj_F20G2.1	WBGene00008985,F20G2.1
cenix:332-d8	WBGene00016520,C39B5.2
sjj_F55A12.9	WBGene00004131(pqn-44),F55A12.9
mv_T06C10.1	WBGene00016957(atic-1),C55F2.1
cenix:300-g2	WBGene00003497(mup-4),K07D8.1
sjj_R12H7.1	WBGene00006749(unc-9),R12H7.1
sjj_F59E12.7	WBGene00019120(npl-4.1),F59E12.4
cenix:164-d10	WBGene00011053(arrd-12),R06B9.2
sjj_T07H3.4	WBGene00020327(clec-21),T07H3.4
sjj_ZC196.6	WBGene00022550(droe-8),ZC196.6
mv_F38C2.1	WBGene00009535,F38C2.1
cenix:103-b8	WBGene00011858,T20D3.5
cenix:158-a11	WBGene00016490,C36E6.2
sjj_C05E4.9	WBGene00001564(icl-1),C05E4.9
smd_C03G6.19:2	WBGene00005647(srp-6),C03G6.19
mv_Y39B6B.aa	WBGene00006639(tsp-13),Y39B6A.6
cenix:342-f1	WBGene00001661(gop-2),C34E10.2
cenix:192-e8	WBGene00007430,C08B6.10
mv_C52D10.1	WBGene00016877,C52D10.3
smd_T04A11.4	WBGene00011416,T04A11.1
mv_C09G9.5	WBGene00007495,C09G9.5
mv_B0432.8	WBGene00015189,B0432.8	WBGene00015194,B0432.13
cenix:96-f8	WBGene00009670,F43G9.8
sjj_W05B2.2	WBGene00012271,W05B2.2
sjj_H12D21.5	WBGene00010381,H12D21.5	WBGene00010383(mpst-3),H12D21.7
cenix:75-d6	WBGene00010622,K07A12.4
sjj_T02H7.1_1	WBGene00021403,Y38C1AB.1
mv_C28C12.3	WBGene00016179,C28C12.3
mv_T03E6.4	WBGene00006197(str-150),T03E6.4
sjj_K07C6.6	WBGene00005954(srx-63),K07C6.6
sjj_ZK1055.1	WBGene00001829(hcp-1),ZK1055.1
cenix:308-c7	WBGene00003391(mog-3),F52C9.7
sjj_C41G11.4	WBGene00016570(gnrr-4),C41G11.4
mv_Y13C8A.1	WBGene00021188,Y13C8A.1
cenix:96-c1	WBGene00010171(oac-35),F56H6.11
mv_T20G5.7	WBGene00011869(dod-6),T20G5.7
mv_B0213.4	WBGene00003767(nlp-29),B0213.4
mv_C11H1.6	WBGene00004191(prx-1),C11H1.4
sjj2_T06E6.5	WBGene00011539(fbxa-135),T06E6.5
smd_T26E4.4	WBGene00012046,T26E4.4
mv_F35G12.3b	WBGene00004762(sel-5),F35G12.3
mv_T03D8.6	WBGene00011393,T03D8.6
cenix:146-g9	WBGene00006473(tag-124),E02H1.3
sjj_R74.6	WBGene00011280,R74.6
mv_F09C12.7_5	WBGene00019026,F58A6.9
sjj_K01D12.1	WBGene00010461,K01D12.1
sjj2_F56D6.10	WBGene00044472(dct-8),F56D6.10
sjj_C01B4.8_1	WBGene00021220,Y19D10A.5
mv_Y47G6A.2	WBGene00002144(inx-22),Y47G6A.2
sjj_K12C11.4	WBGene00003400(dapk-1),K12C11.4
sjj_F32B4.5	WBGene00009315,F32B4.5
mv_F54C8.7	WBGene00010040,F54C8.7
sjj_W07G4.4	WBGene00002250(lap-2),W07G4.4
mv_C33H5.9	WBGene00016376(sec-10),C33H5.9
cenix:69-d7	WBGene00018299,F41G3.2
sjj_B0511.10	WBGene00001228(eif-3.E),B0511.10
cenix:100-c2	WBGene00012411,Y7A5A.5
sjj_Y6E2A.2	WBGene00006156(str-101),Y6E2A.2
sjj_C16B8.3	WBGene00015823,C16B8.3
mv_C29F9.8	WBGene00016222,C29F9.8
cenix:144-b7	WBGene00021883,Y54G2A.18
mv_C50B6.6	WBGene00005240(srh-15),C50B6.6
cenix:228-f2	WBGene00006644(tsp-18),F59G1.2
sjj_T07H8.6	WBGene00004229(ptr-15),T07H8.6
mv_T28C6.1	WBGene00012118(grsp-2),T28C6.1
cenix:66-d5	WBGene00005819(srw-72),F20E11.6
cenix:220-c6	WBGene00009170,F26F2.5
sjj_F41D9.1	WBGene00018281(tbc-18),F41D9.1
sjj_F48E3.7	WBGene00000061(lgc-11),F48E3.7
mv_BAA28677	WBGene00004028(pif-1),Y18H1A.6
cenix:108-h9	WBGene00018975,F56E10.1
sjj_F14F8.5	WBGene00005790(srw-43),F14F8.5
mv_F18A12.6	WBGene00017555(nep-10),F18A12.6
TH:340E9	WBGene00010230(rpac-19),F58A4.9
mv_M05D6.4	WBGene00010877(lact-4),M05D6.4
sjj_ZK938.6	WBGene00014162(chil-9),ZK938.6
sjj_F29A7.2	WBGene00017912(fbxb-107),F29A7.2
mv_W06H12.1	WBGene00012317(ztf-6),W06H12.1
cenix:219-g6	WBGene00016863,C52A10.2
sjj_ZK1248.2	WBGene00000650(col-74),ZK1248.2
sjj_Y108G3B.a	WBGene00015153,B0348.5
cenix:309-c6	WBGene00020047(ttr-32),R13A5.3
sjj_F49E8.2	WBGene00018636,F49E8.2
sjj2_W03D8.5	WBGene00020987,W03D8.5
mv_Y69E1A.8	WBGene00013478,Y69E1A.8
cenix:106-a12	WBGene00005070(srb-5),C27D6.6
mv_Y73F8A.10	WBGene00013519,Y73F8A.10
sjj_K12B6.8	WBGene00019672,K12B6.8
mv_K09F5.2	WBGene00006925(vit-1),K09F5.2
TH:300C12	WBGene00011278,R74.2
mv_G_YK4027	WBGene00015132,B0303.14
sjj_Y17D7B.6	WBGene00012454(clec-256),Y17D7B.6	WBGene00044892(clec-257),Y17D7B.8
mv_K07H8.6	WBGene00006930(vit-6),K07H8.6
mv_ZK816.5	WBGene00000989(dhs-26),ZK816.5
sjj_F30B5.7	WBGene00017936,F30B5.7
sjj_F35C5.9	WBGene00009397(clec-66),F35C5.9
mv_C34B2.4	WBGene00016389,C34B2.4
smd_F59A7.4	WBGene00001857(hil-6),F59A7.4
cenix:137-e11	WBGene00000767(coq-8),C35D10.4
mv_K07C6.2	WBGene00019470(cyp-35B3),K07C6.2
cenix:37-h1	WBGene00004360(rib-1),F12F6.3
sjj2_E03D2.4	WBGene00017107(srt-12),E03D2.4
sjj_C36F7.2	WBGene00007985(swah-1),C36F7.2
sjj_C01F6.8	WBGene00002046(icln-1),C01F6.8
mv_B0554.5	WBGene00015258,B0554.5
mv_Y73F8A.32	WBGene00013536,Y73F8A.32
sjj_Y25C1A.6	WBGene00021293,Y25C1A.6
sjj_T16G12.7	WBGene00011808,T16G12.7
mv_F58E2.2	WBGene00019046,F58E2.2
cenix:341-d1	WBGene00000380(cct-5),C07G2.3
TH:333E9	WBGene00003375(mlp-1),T04C9.4
mv_T24E12.2	WBGene00020772,T24E12.2
TH:217-e1_1	WBGene00014186(nhr-244),ZK1025.6
sjj_Y39A1A.8	WBGene00001997(hpr-9),Y39A1A.23	WBGene00012647(swt-4),Y39A1A.8
mv_B0412.1	WBGene00000895(dac-1),B0412.1
cenix:302-a2	WBGene00015481,C05D11.1
mv_M142.5	WBGene00010922,M142.5	WBGene00043057,M142.8
mv_K01A12.2	WBGene00019286,K01A12.2
cenix:105-c12	WBGene00014142,ZK899.3
sjj_F54H12.2	WBGene00018842,F54H12.2
sjj2_K10B4.5	WBGene00005081(srd-3),K10B4.5
